pressure in bar,inlet temperature in K,temperature in K,residence time in s,portion of product in feed,conversion CO2
9.62101,655.796,668.08714,0.24039,0.08091,0.86023
2.49823,594.972,611.48856,0.28385,0.07182,0.75433
8.22673,490.532,500.59002,0.33087,0.03638,0.14297
8.93467,776.26,832.08282,0.06546,0.12734,0.72623
7.59511,466.636,469.23478,0.32465,0.14765,0.03925
5.33719,728.476,736.13132,0.34495,0.46598,0.66155
2.76931,476.588,479.70144,0.22342,0.1042,0.0306
9.27523,725.212,734.69666,0.31761,0.03309,0.87336
3.93661,406.652,406.70874,0.08054,0.17237,0.00026
3.12193,666.004,677.0934,0.25698,0.2495,0.80615
7.36975,656.516,686.49777,0.1005,0.1932,0.78673
3.19519,525.196,537.7319,0.16728,0.45748,0.24669
3.49165,498.588,503.84999,0.11758,0.49595,0.06785
7.66603,513.588,558.65657,0.13551,0.01591,0.38871
9.81847,719.692,780.57584,0.05265,0.00702,0.81476
7.95259,480.46,486.33767,0.15039,0.02321,0.03558
3.99259,404.132,404.19129,0.28957,0.09074,0.0007
7.81291,651.676,659.35962,0.35464,0.09264,0.8742
2.35117,756.276,822.91351,0.078,0.00982,0.66856
5.80645,455.172,456.00405,0.04761,0.34596,0.00359
1.76329,746.548,767.69463,0.25415,0.0163,0.7344
7.39171,533.54,545.60673,0.24168,0.45432,0.44505
3.23695,706.012,719.95164,0.2498,0.16008,0.79616
1.76455,591.372,603.71195,0.27411,0.33951,0.67183
1.60237,773.764,797.7356,0.19498,0.22022,0.53321
1.88407,661.46,679.96087,0.20169,0.08267,0.80845
9.79183,731.756,743.49682,0.19604,0.4762,0.70123
3.54997,707.7,717.79658,0.33021,0.1905,0.79865
8.31817,441.028,441.57871,0.37474,0.44372,0.01681
1.85995,477.5,480.48559,0.25351,0.00518,0.02774
5.26285,485.404,489.74314,0.17721,0.39316,0.06241
2.43595,726.268,746.67867,0.20429,0.14349,0.7404
5.85469,573.964,593.53068,0.1794,0.3274,0.63293
3.42829,649.86,683.83498,0.08919,0.25724,0.73512
5.10409,446.252,446.76614,0.09027,0.4937,0.00498
1.68121,604.116,623.88056,0.24728,0.04866,0.74946
9.49141,776.756,787.45748,0.25185,0.47708,0.59942
6.38407,517.164,527.80929,0.34075,0.34683,0.38339
7.98283,628.244,639.95108,0.20113,0.4023,0.76398
4.19815,604.62,621.35457,0.16656,0.40012,0.68179
9.57025,667.436,686.79151,0.1697,0.00042,0.85932
2.32417,702.028,728.33406,0.15926,0.00782,0.80442
6.03973,461.564,463.05917,0.07453,0.2012,0.00675
5.52133,599.404,640.83475,0.09717,0.14919,0.70401
3.09331,609.004,621.44498,0.27424,0.22782,0.76709
4.86271,553.98,567.53909,0.38582,0.11975,0.67251
1.72315,656.388,663.06619,0.37528,0.45844,0.7057
4.54933,725.788,735.26953,0.36574,0.16044,0.8043
2.21995,417.268,417.36407,0.2784,0.3933,0.00195
9.37765,659.388,664.16261,0.38136,0.43941,0.82524
