pressure in bar,inlet temperature in K,temperature in K,residence time in s,portion of product in feed,conversion CO2
1.89703,429.628,429.77591,0.09465,0.48384,0.00145
7.18849,465.124,467.71212,0.31018,0.0094,0.02922
2.53153,505.628,513.49124,0.09847,0.36895,0.06535
8.26345,781.876,794.93514,0.26153,0.32366,0.68348
9.06895,525.18,547.02499,0.14448,0.3548,0.34867
4.95073,726.708,787.64002,0.04129,0.34863,0.59983
3.49849,553.468,561.1222,0.37375,0.46984,0.57982
9.64441,719.932,729.67937,0.25923,0.31694,0.80331
4.28617,509.724,519.95887,0.28629,0.33044,0.24873
4.30381,799.884,815.99297,0.24251,0.3206,0.55025
6.12019,411.22,411.32035,0.22514,0.14497,0.00104
1.74745,566.516,579.00613,0.37441,0.20758,0.63801
1.62289,476.548,478.09736,0.36211,0.49252,0.05344
7.93351,701.708,724.05884,0.09064,0.49561,0.6817
3.31723,411.748,411.83506,0.15248,0.08302,0.00057
9.13555,530.3,544.02774,0.32362,0.2706,0.52447
9.24409,625.644,634.43954,0.36028,0.06053,0.85929
8.22403,609.684,624.40919,0.24656,0.12145,0.80302
2.05669,667.204,679.27821,0.26368,0.22614,0.7886
7.48549,540.188,558.28553,0.25093,0.24568,0.5477
4.79521,451.9,452.62644,0.14808,0.49722,0.01078
4.62997,453.676,454.36212,0.05161,0.42045,0.00368
9.13699,596.212,607.2399,0.23382,0.41806,0.7201
6.34663,567.212,595.44091,0.15352,0.20998,0.63085
8.38603,633.02,640.8252,0.27865,0.39656,0.80037
4.43179,703.5,743.80768,0.07889,0.19033,0.75469
2.68471,629.476,638.09247,0.30326,0.34597,0.7805
3.90223,505.204,522.86103,0.16129,0.07078,0.13774
6.63229,795.052,808.81058,0.27922,0.29285,0.64959
1.78975,726.62,736.87647,0.35009,0.35948,0.6007
4.20013,720.076,736.91726,0.20537,0.17374,0.78597
2.54179,450.372,451.18725,0.29777,0.06444,0.00953
2.15479,634.612,652.65407,0.13952,0.43855,0.67719
7.44517,710.308,719.91865,0.26705,0.32526,0.79526
5.85253,741.892,750.79663,0.33149,0.39714,0.68846
2.71657,421.412,421.53505,0.33289,0.48838,0.00369
5.61205,447.132,447.94079,0.32438,0.22248,0.01363
5.61889,658.22,665.42042,0.28873,0.43186,0.79189
3.28375,761.612,816.17498,0.07199,0.20554,0.5988
4.02751,702.06,709.30787,0.34149,0.48031,0.68067
3.56473,776.42,808.39338,0.14986,0.10504,0.68966
2.44639,539.468,558.49413,0.37466,0.0075,0.54322
5.69449,628.548,636.89335,0.27472,0.39638,0.7854
8.15941,753.988,771.4247,0.1863,0.24173,0.76267
6.65749,545.348,558.60084,0.26842,0.36995,0.55003
